Probe	5-FU	AraC	Bleomycin	Camptothecin	Cisp	Etoposide	Hydrogen Peroxide	Hydroxyurea	Methotrexate	MMS	Potassium Chromate (VI)	Sodium Arsenite	X-ray	2-deoxy-D-glucose (2-DG)	Aapicidin	Antimycin A	Cadmium Chloride	Colchicine	Docetaxel	EtOH 2%	EtOH 4%	HC toxin	Heat Shock	Oxamflatin	Paclitaxel	Thapsigargin	TSA	Tunicamysin	Vinblastin
E2F7	0.322092074	0.429676763	0.38955857	0.192282924	0.256418064	0.167667977	0.16882114	0.401125121	0.235377479	0.198106031	0.241196798	0.204184946	0.194634211	-0.144736353	-0.066084233	-0.154292756	0.064579706	-0.052588919	-0.0753555	0.141212096	0.111958536	-0.016048337	0.029669498	-0.05367761	-0.126999469	-0.009863841	-0.009543788	-0.081206196	-0.054448248
E2F8	-0.011460452	0.287840319	0.131981457	0.206610139	0.104292863	0.087767234	0.121322885	0.240065256	0.108531645	0.189220175	0.048366083	-0.300104492	-0.01054548	-0.062777694	-0.42742494	-0.314134292	-0.492471197	-0.007118359	-0.002969888	-0.163542081	-0.053786256	-0.287362292	-0.091040743	-0.240792375	0.002833903	-0.230324951	-0.188736039	-0.252560513	0.018972266
EI24	0.075968109	0.142042033	0.217842145	0.180731128	0.179651732	0.150799793	0.047400249	0.110413071	0.02677996	0.035064157	0.048088346	-0.071007439	0.232487993	-0.110758106	-0.05781083	-0.162522998	-0.072881689	-0.004608348	0.033796417	-0.024640378	-0.039871828	-0.044374763	-0.054415092	-0.054790643	-0.037477863	-0.020330318	-0.004906926	-0.098470909	-0.011579102
FAM123B	0.034808693	0.184733547	0.116799845	0.134708966	0.023105599	0.132370598	-0.129785998	0.114643128	-0.075720744	-0.108495861	-0.10493294	-0.338171514	0.053666427	-0.241854697	-0.341962446	-0.368112507	-0.29524928	-0.151539997	0.015598791	-0.309734824	-0.219652426	-0.315572573	-0.158012723	-0.291799472	-0.069090331	-0.155001708	-0.213735758	-0.303853817	-0.103601155
FBXO22	0.149285972	0.196339286	0.270224269	0.123160593	0.218667593	0.191969129	0.154382365	0.140253403	0.111213195	0.083195225	-0.030443352	0.031767087	0.264286131	-0.001101956	-0.052368063	-0.017440565	-0.083146013	-0.036014112	-0.006562521	-0.06883262	-0.060535465	-0.011576779	-0.064891945	-0.003539326	-0.040033415	-0.084200012	-0.010068365	-0.006107794	-0.044695976
GADD45A	0.295328331	0.544748325	0.485068287	0.319607133	0.438611549	0.211291165	0.487291221	0.543827332	0.153635833	0.478740151	0.5467591	0.646081343	0.28062162	0.272961728	0.059545374	0.332268161	0.243817503	0.00223626	-0.005341519	0.260812702	0.385547687	0.033966872	0.109081977	0.047544366	-0.065348283	0.156330441	0.012978878	0.269816394	0.022673987
GXYLT1	0.209095091	0.126559843	0.109571867	0.08018235	0.010239091	0.109746023	0.025158365	0.154113767	0.057037409	0.034526981	0.076239933	0.124030871	0.135208749	0.009518396	0.00626091	0.002924806	0.075898514	-0.050413285	-0.03392064	0.109430239	0.004834105	0.021296665	-0.020724616	0.0362609	-0.023917942	-0.03170735	-0.00196426	-0.012712531	-0.047380951
HIST1H1E	0.029846075	-0.415433773	-0.006446066	-0.254794346	-0.412010241	-0.21005469	0.049276411	-0.375407297	-0.693419719	-0.547140518	-0.798457687	-0.238960264	-0.061133803	-0.136211112	0.172189696	0.187409822	-0.547603274	-0.089061227	-0.06022232	0.193427463	0.490074835	0.205756319	-0.190235417	0.190402569	-0.112662551	-0.123222894	-0.074150485	0.123181059	0.001090448
HIST1H2BB	0.577149395	-0.32612867	0.016849205	-0.093690308	-0.136182589	-0.097543631	0.176140498	-0.291922435	-0.482627967	-0.046484664	-0.305516409	-0.025760575	-0.052724065	0.085945399	0.104149731	0.498935623	-0.181140232	-0.063470996	0.07946591	0.06730184	0.344723415	0.043525284	0.083797479	0.120100762	-0.05187696	0.062387275	0.005083989	0.115636337	0.183812811
HIST1H2BC	0.520876764	-0.399064765	-0.012655205	-0.117992612	-0.168753859	-0.1020052	0.254818885	-0.392009679	-0.417684278	-0.083517412	-0.427942804	-0.01371383	-0.095635968	0.131478308	0.141643575	0.500721066	-0.172898751	-0.048255491	0.03231647	0.141800656	0.440927091	0.049684022	0.065586689	0.102403409	-0.040789938	0.081667356	-0.000930632	0.098444932	0.195248294
HIST1H2BG	0.657884835	-0.37482649	-0.020529826	-0.102203691	-0.198210653	-0.107233151	0.236735478	-0.364676427	-0.492764637	-0.08856668	-0.42443427	-0.036329983	-0.11332655	0.103551556	0.171824463	0.486666894	-0.172041958	-0.057217151	0.0517546	0.213945045	0.656623758	0.165740401	0.076422181	0.16231804	-0.064186093	0.087710101	0.071217282	0.06947736	0.258515087
HIST1H2BI	0.638604103	-0.317776652	-0.039376253	-0.104317641	-0.169319129	-0.104785531	0.179792701	-0.283036537	-0.473979382	-0.060569495	-0.37448948	0.01836143	-0.074253959	0.078867277	0.08716154	0.485192379	-0.151165245	-0.05043586	0.051931987	0.106341703	0.394757027	0.021257329	0.028688823	0.089451419	-0.0352186	0.102317759	-0.012139021	0.095730327	0.199708955
HIST1H2BM	0.607335348	-0.375748366	-0.012031078	-0.142892352	-0.206778622	-0.121629034	0.224885958	-0.309096951	-0.598259513	-0.08062114	-0.429654823	0.024318733	-0.096523603	0.082177662	0.075235227	0.540468771	-0.136640144	-0.082722325	0.068758319	0.11128529	0.461857875	-0.038268371	0.042567776	0.063017618	-0.049842968	0.110052619	-0.077687776	0.101386593	0.20134507
HIST1H2BN	0.273404554	-0.17680121	-0.016962585	-0.060944812	-0.085822347	-0.051986357	0.113284367	-0.161539498	-0.215318375	-0.040369062	-0.211934708	0.025502562	-0.041028314	0.042759353	0.037013454	0.249824026	-0.08375525	-0.03074568	0.033213184	0.045902945	0.198379304	0.019140356	0.027667736	0.043838839	-0.027136061	0.046026443	-0.003866642	0.047638443	0.109529153
HIST1H3D	0.35480815	-0.177426449	0.015916803	-0.049474838	-0.070417466	-0.093503217	0.075983492	-0.178791819	-0.296321431	-0.062117272	-0.246572748	-0.030922331	-0.031955927	0.01223621	0.18001044	0.267588459	-0.106533116	-0.030272804	0.048687203	0.12340477	0.260740829	0.150546773	0.173694201	0.198140934	-0.041883696	0.031005907	0.073320577	0.104308318	0.124509277
ID2	-0.146530187	-0.141985348	-0.075558673	-0.109933751	0.126920579	-0.107818346	0.218943874	-0.152472127	-0.181987873	-0.113846124	-0.051312381	0.222248384	-0.153069714	0.27710118	0.364632224	0.578902219	0.114680546	-0.02571032	0.027697191	0.004820427	0.012993483	0.358787956	0.086346493	0.256227165	-0.049743924	0.074039334	0.311547478	0.103920131	0.029391599
IKBIP	0.148856406	0.268509755	0.271622465	0.208216268	0.153834114	0.342139243	0.290227199	0.228927371	0.017413428	0.060408033	0.102415109	-0.064400085	0.255999666	-0.053770622	-0.07260517	-0.203369935	-0.220266956	-0.047342328	0.003194254	-0.007970707	-0.252569032	0.03784695	-0.020947231	0.017106637	-0.023626283	0.102990817	0.0374217	-0.044958182	-0.048695798
ITPKC	0.112414164	0.230144947	0.184072883	0.259944638	0.146531636	0.140962834	0.108718655	0.186405535	0.126773626	0.133951913	0.191165583	0.101136068	0.148380661	-0.11652024	0.064438098	-0.104304852	0.013390082	0.029318576	-0.022682971	0.064535602	-0.185115066	0.041269476	0.042116418	0.05887266	0.006425597	0.081719827	0.08695378	0.044863796	0.018088517
ITPR1	-0.110226212	-0.025466965	0.01902446	-0.44290272	-0.233297812	-0.140591382	-0.103718259	-0.074463529	-0.140864082	-0.03977884	-0.160739331	0.274729472	-0.06290406	0.149887636	0.205150333	0.209307325	0.067754884	0.027767795	0.061014458	-0.054385656	-0.194416219	0.242864826	-0.146492342	0.203140572	0.014286139	0.110831708	0.21079114	0.254152645	0.054084812
LCE1E	0.007848151	0.511246582	0.885630414	0.481327124	0.145684826	0.3616161	0.65824937	0.393214669	-0.012485524	0.28568921	0.219233439	-0.026295863	0.524015776	-0.100073659	0.095469919	0.064518796	-0.104548303	0	-0.00201304	0	0	-0.088917848	-0.320716718	-0.067227495	0	0.09399714	0	0.063624117	0
LRRFIP2	-0.041365295	-0.031343636	-0.013632046	-0.243408184	-0.114165041	-0.040828243	-0.095315667	-0.086709202	-0.062919579	-0.080474871	-0.09629916	0.202164763	-0.08850801	0.05583969	0.208487864	0.010836551	0.047120378	0.098004748	0.054168431	0.066483144	-0.010921166	0.233006842	-0.027168891	0.083294928	-0.018382734	0.310301424	0.279558274	0.064201346	0.105233787
MDM2	0.413657192	0.375988374	0.464579128	0.149567521	0.234197436	0.382926635	0.260171142	0.372081483	0.17031262	0.155932897	0.226290404	0.514224791	0.392454889	0.057241291	-0.022204771	0.045379735	-0.018012108	0.053268149	-0.020741512	0.037757953	-0.041368523	-0.071198291	-0.002018951	0.006846848	0.000890465	0.064778914	-0.058803033	0.067816427	0.049735644
MEX3B	0.07757686	0.213091242	0.276358912	0.255121458	0.3484529	0.194624069	0.131049366	0.142670262	0.162973017	0.208163171	0.117650208	0.109132033	0.183537992	-0.122877168	0.108024255	-0.058553307	-0.055004563	0.041785208	-0.063144399	0.392702922	0.232839428	0.175867517	0.02305834	0.037838844	-0.003013965	-0.091902984	0.313024351	-0.146170787	-0.015514502
NLRX1	-0.006158017	0.139400734	0.077225891	0.12559863	0.111685654	0.078045168	0.020480655	0.042704341	0.044769797	0.066457498	0.000610698	-0.058131682	0.06645624	-0.075854622	-0.361582138	-0.052988887	-0.121631936	-0.070604776	-0.005928024	0.086544584	-0.027288647	-0.235677303	-0.067791418	-0.282806794	-0.007137621	-0.034383733	-0.228811383	0.045712324	-0.060910741
PCDH8	0.248696946	0.667842072	0.5469753	0.345363181	0.238685789	0.46493185	0.708238671	0.555684699	0.101833726	0.118103918	0.599225258	0.087680519	0.485016537	0.058628715	0	0.088539613	0.045974632	0.060949201	0	0.026449879	0.129298493	-0.041400594	0.055449961	-0.080078053	0.020313354	-0.064616885	0	0.048156552	0
PHLDA3	0.399144066	0.407188457	0.505601359	0.330417359	0.448357182	0.292202276	0.209403556	0.383821575	0.126833495	0.148893146	0.318807843	0.259925645	0.352269135	-0.067644543	-0.196823535	-0.073836509	0.001390979	-0.033704846	-0.001242946	0.07676175	0.048357279	-0.151657405	0.062133319	-0.169619795	-0.062527037	-0.0023238	-0.153726139	-0.052177678	-0.04337048
PLK3	0.267648522	0.386810079	0.387822711	0.40744015	0.370706226	0.212786347	-0.015299866	0.270857412	0.082437279	-0.09756083	0.32573547	0.138671608	0.201017587	-0.164743863	0.145174905	-0.069477801	-0.211252205	0.014681313	-0.006941957	-0.395845662	-0.521909738	0.08398598	-0.119616323	0.139661047	-0.059363933	0.232379611	-0.034329736	-0.112409084	-0.001593934
PPM1D	0.350346782	0.445590398	0.49432378	0.367464851	0.316904073	0.279438653	0.43411402	0.466742642	0.196100572	0.337109459	0.413606198	0.412083662	0.341099967	-0.027302803	0.012047427	-0.008530775	-0.037203154	0.010755707	0.01558218	0.137414171	0.294811241	0.021409713	-0.01449583	0.076974634	-0.062985469	-0.032327539	-0.016728485	-0.00216966	0.001575913
PRKAB1	0.265207844	0.55079332	0.454871558	0.568751116	0.341722259	0.352859558	0.30011392	0.480129133	0.155335453	0.305458615	0.42274443	0.346637435	0.36645438	0.07560862	-0.063063639	-0.022933708	-0.140812344	-0.083797517	-0.022209182	0.149665998	0.100123036	-0.076243859	-0.08919934	-0.09286074	-0.064541469	-0.050040726	-0.029957494	0.050361961	-0.090668666
PRKAB2	0.142132799	0.347016158	0.238001576	0.179375373	0.197605517	0.173079379	0.103838506	0.289425079	0.095548658	0.052516766	0.125510316	0.055560343	0.229832607	0.086861598	0.013703691	-0.11117059	-0.144183509	-0.064790975	-0.031660053	0.13304336	-0.162767211	0.015568759	-0.096712444	0.129237453	-0.055789033	0.083222033	0.111627294	0.038775024	-0.037012909
PTGER4	-0.111100306	-0.092548899	-0.099158731	-0.17876964	-0.119779659	-0.027793063	0.049592355	-0.093746442	-0.035937074	-0.229482876	-0.111028556	0.15767879	-0.118578224	0.130051058	0.436745233	0.466814389	0.148346019	0.158866181	-0.005092887	-0.024237668	-0.121379568	0.473823996	-0.046379218	0.23899821	-0.099403152	0.174617737	0.272265169	0.07357392	0.249208115
RAPGEF2	-0.038632287	-0.084620964	-0.041294227	-0.265510627	-0.188567946	-0.082452418	-0.082137495	-0.120831411	-0.129818722	-0.121010749	-0.213202146	0.087385383	-0.107048979	0.0801537	0.354539941	0.049005503	0.110539752	0.121271363	0.022262722	0.164170373	0.089124547	0.387199638	-0.101385886	0.157640658	-0.01681143	0.271161043	0.184770057	0.045338742	0.088313585
RBM12B	0.103865409	0.137257172	0.113329295	0.060269553	0.025098968	0.125416213	0.059183196	0.118219181	0.046788147	-0.050549364	-0.038460784	-0.044517621	0.131541919	-0.153230923	-0.132220449	-0.124927217	-0.187081869	-0.051244061	0.014396342	0.048093494	-0.259691234	-0.108769503	-0.253805317	-0.078922065	-0.021280999	-0.181810113	-0.032750069	-0.135711851	0.012231385
RPS27L	0.198574401	0.149210579	0.290657823	0.155175791	0.255353739	0.33425387	0.15542039	0.086095657	0.08358855	0.160858048	0.113801053	0.096476841	0.344383728	-0.052479863	0.067327015	0.051813915	-0.100765867	-0.057185055	0.014093616	0.093872264	0.020494674	0.060432537	-0.032059504	0.056869983	-0.019519093	-0.003070486	0.08812489	-0.016442156	0.006758573
RRM2B	0.271815921	0.507454831	0.504601264	0.368664791	0.311250896	0.493834801	0.246799821	0.417935461	-0.129301673	0.224592704	0.195564012	0.386522834	0.552005583	-0.103991158	0.16869209	0.062307191	-0.123883233	-0.082517467	0.028054692	0.097724391	0.108766175	0.137686231	-0.113716633	0.292067417	-0.06806262	0.073245355	0.157733049	0.041888316	-0.063036921
SEL1L	0.098575584	-0.063025719	0.022189518	-0.080919333	-0.147533556	-0.021083849	-0.094853318	-0.046460629	-0.041922864	0.122145434	-0.103327243	-0.055237011	-0.019547837	0.253644378	0.167528945	-0.02713562	-0.005587619	0.013306986	0.005011067	0.043059122	-0.012614341	0.067655853	-0.110364438	0.099907635	0.005184421	0.394605955	0.125946047	0.418761489	0.016519018
SEMG2	0.024458725	0.259528521	0.391279498	0.096631009	0.166790047	0.181995574	0.46680107	0.135270361	0.026398055	-0.025973706	0.242092455	0.015743358	0.172520525	-0.033903168	-0.006797659	0.116455982	0.037643723	-0.024742718	0.039384856	0.044871283	-0.067144971	0.037851356	0.022794215	0.088988057	-0.075721881	-0.028532556	-0.226690393	-0.068351013	0.074595242
SERTAD1	0.348386344	0.498067155	0.552670616	0.7714788	0.729334407	0.369168647	0.441434717	0.463951978	0.173900741	0.567505636	0.475627589	-0.006339052	0.318113336	-0.006857512	0.085853611	0.130530787	-0.057373071	-0.015824758	0.008234347	0.410561838	0.544581805	0.214665107	0.13354509	0.145283653	-0.023769536	0.046843093	0.06980163	-0.166874719	-0.063486533
SMAD5	0.168685315	0.383908541	0.263841098	0.221475073	0.109975597	0.127018084	0.009948434	0.33002983	-0.025401728	0.005142554	0.042745608	0.157183799	0.155979131	-0.001310398	-0.015984058	-0.169878724	0.098576113	0.012916663	-0.012492498	0.105144877	-0.007514598	-0.018852313	-0.076389687	0.027030358	-0.032294184	-0.059266094	-0.002427353	-0.116755504	-3.50E-05
TM7SF3	0.180124122	0.192566242	0.261427621	0.052479718	0.145996392	0.23292862	0.11749602	0.157673558	0.101814946	0.085900835	0.072573079	0.114563654	0.299944949	-0.092773394	0.02979117	-0.050626209	-0.111648997	-0.077821645	-0.017535629	0.031797066	-0.01394714	0.032975955	-0.067624454	0.025349742	0.010247894	-0.047062437	0.013452486	-0.049693654	-0.0801497
TNFRSF17	0.004151194	0.271007675	0.235866294	0.230109331	0.165917174	0.09866694	-0.151877269	0.249633229	-0.092709598	-0.030597478	0.106492285	0.012088261	0.077703803	-0.197427666	-0.686895614	0.290779241	0.008395037	-0.381773996	-0.061608956	0.06681836	-0.329878295	-0.436909222	-0.515802847	-0.494942226	-0.024369238	-0.160636166	-0.664796072	0.165424646	-0.30067644
TOPORS	-0.030359571	0.186267105	0.071505215	0.178295806	0.132183879	0.033836117	0.016477837	0.098397118	-0.04459666	0.040398341	-0.063802397	0.163631776	-0.043801912	-0.022529918	-0.349207461	-0.262025611	-0.064177487	0.006969551	0.013944028	-0.03431468	-0.047757533	-0.291207959	-0.166755006	-0.437603778	-0.091520893	-0.041277124	-0.214434956	-0.138683967	0.016179699
TP53I3	0.214196383	0.321904578	0.428014027	0.211742951	0.109724887	0.23698868	0.141433884	0.231320981	0.131201702	0.078852956	0.068285328	0.049862138	0.325274157	0.003966025	-0.118358376	0.044003391	-0.083000909	-0.14129202	0.02139048	-0.113098877	-0.035853061	-0.05967546	-0.005469591	-0.078396444	0.002727624	0.043021318	-0.107571787	0.021305218	-0.096554492
TRIAP1	0.209780846	0.288401224	0.358369074	0.331800505	0.37486561	0.319965433	0.232678898	0.208716713	0.064475699	0.173655029	0.164111371	-0.014457745	0.377721219	-0.444088674	-0.021851977	-0.286940269	-0.227233069	-0.076307702	0.001247418	-0.078626458	0.038257216	-0.016036571	-0.103813028	-0.010288243	-0.086853022	-0.1954901	-0.021566207	-0.258153709	-0.08095764
TRIM22	0.388742803	0.296407294	0.510299274	0.24759621	0.281050596	0.372247771	0.199920008	0.247723088	0.139842838	0.020273664	0.183846104	0.248464418	0.519064736	-0.062520565	-0.26741266	-0.042028151	-0.108570127	-0.068361305	0.021147071	0.070122651	-0.15808266	-0.205991254	-0.02061349	-0.138620194	0.041029062	-0.025997711	-0.151476929	0.028943616	-0.05933511
